,id,name,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood,latitude,longitude,is_location_exact,room_type,bathrooms,bedrooms,beds,price,availability,number_of_reviews,first_review,last_review,rating,score_clean,score_communication,score_location
1660,3115135,Cozy room with shared living,15828426,2014-05-21,within an hour,100,False,4.0,True,Centrum-Oost,52.36463,4.8831,True,Private room,1,1,1,99.0,0,546,2014-06-02,2019-12-03,9.1,9.0,9.0,10.0
1662,3121979,Modern & spacious house in Amsterdam,11484134,2014-01-20,within a day,100,False,1.0,True,Slotervaart,52.36096,4.8242199999999995,True,Entire home/apt,2,5,4,139.0,4,1,2019-07-29,2019-07-29,10.0,10.0,10.0,10.0
1663,3123853,Nieuwmarkt | 2 BR | Spacious!,11125718,2014-01-08,within an hour,100,False,3.0,True,Centrum-Oost,52.371140000000004,4.90816,False,Entire home/apt,1,2,4,200.0,60,235,2014-06-02,2019-11-04,8.8,9.0,9.0,10.0
1664,3136050,Cozy room close to the centre,15923462,2014-05-24,within an hour,100,True,3.0,True,De Pijp - Rivierenbuurt,52.35757,4.90005,True,Private room,1,1,2,75.0,6,125,2014-07-05,2019-11-24,9.6,10.0,10.0,10.0
1667,3138594,Great 100M2 appartment with garden,10308497,2013-11-28,within an hour,100,False,1.0,True,De Baarsjes - Oud-West,52.36807,4.87231,True,Entire home/apt,1,2,3,180.0,3,30,2014-06-24,2019-08-05,9.7,10.0,10.0,10.0
1669,3143024,Skinny Bridge Apartment Amsterdam,15953860,2014-05-25,within an hour,100,False,1.0,True,Centrum-Oost,52.359429999999996,4.89712,True,Entire home/apt,1,0,1,180.0,0,86,2014-08-04,2019-10-13,9.4,9.0,10.0,10.0
1670,3144548,Wonderful houseboat Amsterdam,12003884,2014-02-06,a few days or more,30,False,2.0,True,Oostelijk Havengebied - Indische Buurt,52.37395,4.948259999999999,True,Entire home/apt,1,3,3,344.0,174,30,2014-06-02,2019-08-03,9.7,9.0,10.0,9.0
1673,3149073,Unique+central+river+garden 2phouse,7103554,2013-06-25,within a day,100,False,1.0,True,Oud-Oost,52.351209999999995,4.91271,False,Entire home/apt,1,2,2,129.0,136,24,2014-06-23,2017-02-14,8.8,8.0,9.0,9.0
1674,3150587,Heart of the Jordaan B&B - Spacious,15991513,2014-05-26,within a few hours,90,True,1.0,True,Centrum-West,52.37789,4.88403,True,Entire home/apt,1,1,2,125.0,111,234,2014-06-02,2019-12-05,9.8,10.0,10.0,10.0
1677,3155284,Your cottage in the countryside,3040748,2012-07-24,within a few hours,100,False,13.0,True,Noord-Oost,52.409209999999995,4.96478,True,Private room,1,1,1,78.0,352,145,2014-08-02,2019-11-19,9.6,10.0,10.0,10.0
1679,3159660,Downtown Excellence Apartment,2321097,2012-05-08,within a day,61,False,6.0,True,Centrum-Oost,52.36195,4.89079,True,Entire home/apt,1,2,2,211.0,0,62,2014-06-02,2019-07-12,8.6,9.0,9.0,10.0
1681,3163509,Family Houseboat in City Center,14049960,2014-04-08,within a few hours,100,True,2.0,True,Centrum-Oost,52.35905,4.90324,True,Entire home/apt,1,2,3,150.0,0,40,2014-07-12,2019-10-08,9.9,10.0,10.0,10.0
1685,3165630,"Apartment with sunny garden, close to city centre",4592684,2013-01-05,within a day,100,False,1.0,True,De Baarsjes - Oud-West,52.361670000000004,4.8511,True,Entire home/apt,1,2,3,99.0,0,6,2017-08-09,2019-08-01,9.7,10.0,10.0,9.0
1689,3172072,B&B Prins Hendrik private room with garden terrace,16007494,2014-05-26,within an hour,100,True,1.0,True,Zuid,52.35284,4.861330000000001,True,Private room,1,1,1,99.0,92,151,2014-08-04,2019-11-25,9.7,10.0,10.0,10.0
1690,3172327,Spacious 2 story apartment + garden,6123911,2013-04-28,within a few hours,100,False,1.0,True,Oud-Oost,52.3587,4.923830000000001,True,Entire home/apt,1,3,4,140.0,6,18,2016-08-01,2019-08-20,9.9,9.0,10.0,9.0
1692,3174322,Beautiful city center family home with 2 terraces,2133459,2012-04-13,within a few hours,100,False,1.0,True,Centrum-West,52.38,4.88746,False,Entire home/apt,1,2,3,325.0,0,22,2015-01-03,2019-10-24,10.0,10.0,10.0,10.0
1695,3180371,Unique charming loft near museums and canals.,16126732,2014-05-29,within a few hours,100,False,1.0,True,Centrum-Oost,52.36189,4.90458,True,Entire home/apt,1,2,3,125.0,0,23,2014-06-15,2019-08-06,9.5,9.0,10.0,9.0
1696,3180391,B&B in 't Hooi,14547761,2014-04-21,within a few hours,100,False,1.0,True,Noord-Oost,52.39654,4.995019999999999,True,Entire home/apt,1,1,1,110.0,0,23,2014-06-09,2019-09-15,9.9,10.0,10.0,10.0
1698,3188372,Nice Place to Stay in Amsterdam,16163827,2014-05-30,within a day,67,False,1.0,True,Slotervaart,52.35992,4.8337699999999995,True,Entire home/apt,1,2,0,110.0,0,111,2014-06-10,2019-11-04,8.7,8.0,9.0,8.0
1700,3194778,Central Canal view ground floor duplex chld frndly,1347048,2011-10-28,within an hour,100,True,2.0,True,De Baarsjes - Oud-West,52.3719,4.8707,True,Entire home/apt,1,2,5,250.0,0,199,2015-08-13,2019-11-17,9.6,10.0,10.0,10.0
1702,3195674,Luxurious appartment with park view,9854822,2013-11-06,within a few hours,100,False,1.0,True,De Baarsjes - Oud-West,52.37175,4.86939,True,Entire home/apt,1,1,2,120.0,0,11,2014-06-10,2017-10-16,10.0,10.0,10.0,10.0
1703,3197890,Nice vintage feeling apartment,2902353,2012-07-11,within a day,80,False,3.0,True,Bos en Lommer,52.37939,4.8503300000000005,False,Entire home/apt,1,3,3,200.0,4,42,2014-06-09,2019-10-21,9.9,10.0,10.0,9.0
1707,3203283,Lovely Canal House in Centre for 4!,3774941,2012-10-06,within a day,100,False,1.0,True,Centrum-Oost,52.361979999999996,4.90545,True,Entire home/apt,1,2,2,225.0,1,10,2014-07-15,2016-07-04,10.0,10.0,10.0,10.0
1709,3205007,Charming apartment  Vondelpark,16240153,2014-06-01,within an hour,100,True,1.0,True,Zuid,52.35346,4.85203,True,Entire home/apt,1,1,1,110.0,56,23,2014-06-10,2019-08-12,9.5,9.0,10.0,10.0
1714,3209240,Charming apartment in Museumquarter,10258350,2013-11-25,within a few hours,100,False,1.0,True,De Pijp - Rivierenbuurt,52.3566,4.88788,True,Entire home/apt,1,1,2,109.0,0,17,2016-03-30,2019-10-20,9.6,10.0,10.0,10.0
1716,3218591,"Seb's Canal View App., City Center",14240815,2014-04-13,within a few hours,100,False,2.0,True,Centrum-Oost,52.36094,4.89375,True,Entire home/apt,1,1,2,150.0,2,62,2014-06-21,2018-11-03,9.6,10.0,10.0,9.0
1718,3225605,Amazing Amsterdam houseboat (watervilla),14039696,2014-04-08,within an hour,100,True,1.0,True,De Pijp - Rivierenbuurt,52.35555,4.9061900000000005,True,Entire home/apt,3,4,4,559.0,14,36,2014-07-22,2019-07-21,9.8,9.0,10.0,10.0
