,listing_id,month,price
40757,441964,7,159.0
40788,441964,8,159.0
40818,441964,9,159.0
40849,441964,10,159.0
40879,441964,11,159.0
40885,441964,12,159.0
41182,443698,3,135.0
41273,443698,6,135.0
41335,443698,8,135.0
41365,443698,9,135.0
41503,443698,10,135.0
41533,443698,11,135.0
41539,443698,12,135.0
41665,327285,1,187.0
41694,327285,2,250.0
41725,327285,3,189.0
42719,179528,1,275.0
42748,179528,2,275.0
42779,179528,3,275.0
42946,179528,4,275.0
42977,179528,5,275.0
43007,179528,6,275.0
43038,179528,7,275.0
43069,179528,8,275.0
43099,179528,9,275.0
43130,179528,10,275.0
43160,179528,11,275.0
43166,179528,12,275.0
43295,328723,8,295.0
43359,328723,9,295.0
43390,328723,10,295.0
43420,328723,11,295.0
43426,328723,12,295.0
43494,445345,1,120.0
43568,445345,2,120.0
44698,445660,1,80.0
44818,188347,1,60.0
44847,188347,2,65.0
45249,445660,2,80.0
45409,342540,1,85.0
45438,342540,2,85.0
45670,342540,3,85.0
45683,445660,3,80.0
45713,445660,4,75.0
45744,445660,5,80.0
45774,445660,6,80.0
45821,342540,4,85.0
45852,342540,5,85.0
45882,342540,6,85.0
45913,342540,7,85.0
46064,188483,10,120.0
46094,188483,11,120.0
46100,188483,12,120.0
46184,189754,2,160.0
46296,445660,8,80.0
46326,445660,9,75.0
46357,445660,10,80.0
46387,445660,11,75.0
46393,445660,12,75.0
46440,189754,6,225.0
46531,446592,1,100.0
46545,342540,8,85.0
46575,342540,9,85.0
46606,342540,10,85.0
46636,342540,11,85.0
46642,342540,12,85.0
46669,446592,2,100.0
46686,189754,7,160.0
46717,189754,8,160.0
46778,189754,10,160.0
46802,446592,3,100.0
46832,446592,4,100.0
46868,446592,5,100.0
46898,446592,6,100.0
46953,189754,11,160.0
46959,189754,12,160.0
47005,446592,7,100.0
47036,446592,8,100.0
47066,446592,9,100.0
47097,446592,10,100.0
47127,446592,11,100.0
47133,446592,12,100.0
47148,190585,1,115.0
47177,190585,2,115.0
47581,343094,2,88.0
47612,343094,3,95.0
47673,343094,5,98.0
47703,343094,6,98.0
47818,446999,1,109.0
47847,446999,2,109.0
47958,343094,7,105.0
47989,343094,8,98.0
48019,343094,9,98.0
48050,343094,10,105.0
48080,343094,11,96.0
48086,343094,12,96.0
48113,446999,3,109.0
48329,446999,4,209.0
48360,446999,5,109.0
48390,446999,6,109.0
48482,446999,9,109.0
48513,446999,10,109.0
48543,446999,11,109.0
48549,446999,12,109.0
49087,193038,1,124.0
49147,193038,3,120.0
